CustomerID,Gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,NumSupportCalls,NumProductsUsed,DaysSinceLastContact,AvgMonthlyUsage,ContractMonthsRemaining,Churn
CUST-000029,Female,0,No,No,57.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,112.86,6424.52,6,3,272,60.4,0,1
CUST-000030,Male,0,Yes,Yes,50.0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),72.35,3612.64,6,5,9,164.9,9,1
CUST-000031,Male,0,No,Yes,17.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),51.75,893.63,14,5,328,254.4,21,0
CUST-000032,Male,1,No,No,51.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Electronic check,103.39,5252.21,5,4,86,163.7,12,0
CUST-000033,Male,0,No,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,111.53,147.72,4,3,11,168.6,8,1
CUST-000034,Female,0,Yes,Yes,55.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.6,1154.76,11,3,139,40.4,0,1
CUST-000035,Female,0,Yes,No,65.0,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),112.39,7314.16,2,2,179,87.7,0,0
CUST-000036,Male,0,No,No,57.0,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,74.76,4237.05,1,2,340,211.5,11,0
CUST-000037,Female,1,Yes,No,19.0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),54.83,1066.95,9,4,5,299.0,0,1
CUST-000038,Female,0,Yes,No,72.0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,108.75,7806.39,3,3,253,211.7,0,1
CUST-000039,Male,1,No,Yes,51.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),105.81,5400.53,11,5,200,246.3,0,1
CUST-000040,Female,0,Yes,No,7.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.19,137.09,4,6,73,92.1,8,0
CUST-000041,Male,0,No,No,62.0,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),72.69,4520.23,4,4,35,88.9,10,0
CUST-000042,Female,0,No,Yes,8.0,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,One year,No,Credit card (automatic),63.91,505.59,8,3,309,97.7,6,1
CUST-000043,Female,0,Yes,No,40.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),70.41,2793.91,7,6,72,266.1,0,1
CUST-000044,Male,0,No,Yes,70.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),63.01,4398.2,2,1,359,88.0,0,0
CUST-000045,Male,0,No,No,55.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),96.35,5291.98,12,2,162,234.1,0,1
CUST-000046,Female,1,No,No,34.0,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,25.13,876.35,3,1,211,97.4,22,0
CUST-000047,Male,0,Yes,No,2.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.69,44.05,1,4,146,73.3,0,0
CUST-000048,Female,0,No,Yes,65.0,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),61.33,3963.93,1,4,62,286.4,3,0
CUST-000049,Female,0,No,Yes,45.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,92.65,4184.89,14,5,218,272.4,0,0
CUST-000050,Female,1,No,No,39.0,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,111.26,4350.52,7,1,133,169.9,2,0
CUST-000051,Female,0,Yes,Yes,38.0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),64.72,2443.8,2,2,267,86.7,12,0
CUST-000052,Male,0,No,No,50.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,86.19,4291.99,8,1,202,47.4,22,1
CUST-000053,Male,0,Yes,No,65.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),110.57,7181.54,1,4,325,115.3,11,0
CUST-000054,Male,0,Yes,Yes,39.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.11,772.86,0,5,206,162.4,9,0
CUST-000055,Male,0,No,No,27.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,87.13,2369.05,9,6,354,126.0,8,0
CUST-000056,Male,0,Yes,Yes,68.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,112.31,7638.39,1,4,193,197.8,0,0
CUST-000057,Female,0,Yes,No,72.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),70.94,5087.47,5,6,219,41.4,20,0
CUST-000058,Male,0,No,No,9.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,94.74,854.27,13,5,264,32.5,11,1
CUST-000059,Female,0,Yes,No,58.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,112.13,6504.86,8,6,358,181.1,0,1
CUST-000060,Female,0,No,No,7.0,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,50.95,337.31,9,6,44,66.2,0,1
CUST-000061,Female,0,Yes,No,27.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,77.02,2070.49,5,4,36,132.6,0,0
CUST-000062,Female,0,No,Yes,64.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),27.74,1781.8,14,3,154,62.3,5,0
CUST-000063,Male,0,No,Yes,8.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,86.82,720.14,5,2,189,227.0,1,1
CUST-000064,Female,0,Yes,Yes,13.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,104.66,1374.76,6,6,308,285.7,0,0
CUST-000065,Male,1,No,No,14.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,70.21,967.72,2,3,93,190.9,4,0
CUST-000066,Male,0,Yes,No,66.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),71.12,4722.58,2,4,58,188.0,0,1
CUST-000067,Female,0,No,No,1.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),79.38,70.17,1,5,300,181.9,0,0
CUST-000068,Male,0,Yes,No,1.0,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,34.0,45.43,11,6,348,63.8,23,0
CUST-000069,Male,0,No,No,10.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),46.69,491.1,9,5,114,201.6,0,0
CUST-000070,Male,0,No,Yes,70.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,26.19,1843.07,3,6,138,77.3,0,0
CUST-000071,Female,0,Yes,Yes,15.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),77.97,1158.75,9,3,82,279.8,0,0
CUST-000072,Male,0,Yes,No,11.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),78.35,867.94,7,2,155,99.2,0,1
CUST-000073,Male,0,No,No,40.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.67,1193.24,1,4,22,295.4,0,1
CUST-000074,Male,0,No,No,12.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,57.13,663.89,7,5,232,115.4,0,0
CUST-000075,Female,1,No,Yes,51.0,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),67.64,3442.88,11,1,169,122.8,0,0
CUST-000076,Male,0,Yes,No,16.0,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,72.19,1169.37,13,6,310,115.7,2,0
CUST-000077,Male,0,No,Yes,14.0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,55.39,766.41,8,3,342,169.9,0,1
CUST-000078,Male,0,Yes,No,58.0,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),95.67,5534.06,5,1,45,174.8,14,0
CUST-000079,Female,0,No,Yes,62.0,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),68.59,4214.06,3,3,295,113.9,9,0
CUST-000080,Female,0,No,Yes,27.0,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),60.94,1612.59,11,1,129,234.4,0,0
CUST-000081,Female,0,No,No,10.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,92.26,965.75,10,5,318,82.1,0,1
CUST-000082,Male,0,Yes,No,33.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,111.33,3655.47,10,2,362,75.1,0,1
CUST-000083,Male,0,Yes,No,15.0,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),52.99,781.04,12,3,175,267.6,10,0
CUST-000084,Female,0,No,Yes,25.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,68.96,1746.47,12,1,127,71.0,12,0
CUST-000085,Female,1,Yes,No,37.0,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),59.34,2175.98,2,1,249,13.6,0,0
CUST-000086,Female,0,Yes,No,28.0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,51.04,1419.68,8,3,103,248.3,0,1
CUST-000087,Male,0,Yes,No,16.0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.37,488.58,6,2,312,19.3,0,0
CUST-000088,Male,0,No,Yes,30.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,87.59,2629.59,6,6,280,115.8,2,0
CUST-000089,Female,1,Yes,No,34.0,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,32.09,1063.86,3,4,316,177.2,0,0
CUST-000090,Female,0,No,No,56.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),72.58,4052.85,6,6,120,209.9,0,0
CUST-000091,Male,0,Yes,No,27.0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),45.18,1238.85,4,4,36,124.7,4,1
CUST-000092,Female,0,No,No,41.0,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,63.43,2594.16,4,1,352,202.4,9,0
CUST-000093,Female,0,Yes,No,9.0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.92,205.9,6,5,78,184.5,0,0
CUST-000094,Male,0,Yes,Yes,57.0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),25.61,1459.05,13,6,248,298.9,0,0
CUST-000095,Female,1,No,Yes,30.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.39,665.84,6,1,310,253.7,0,0
CUST-000096,Male,0,Yes,Yes,42.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.53,1055.14,9,1,70,178.9,13,0
CUST-000097,Male,0,Yes,No,32.0,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,95.91,3037.5,14,5,338,171.4,0,1
CUST-000098,Female,0,No,Yes,4.0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,84.38,354.65,6,3,223,80.8,0,1
CUST-000099,Female,0,No,Yes,65.0,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),73.54,4752.23,0,1,335,22.4,0,0
CUST-000100,Male,1,No,No,63.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),29.09,1805.04,3,4,286,297.1,6,0
CUST-000101,Female,0,Yes,Yes,60.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),22.7,1380.85,0,5,24,14.9,11,0
CUST-000102,Male,0,No,No,16.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,91.69,1458.23,4,2,103,123.3,1,1
CUST-000103,Female,0,Yes,No,37.0,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),68.5,2536.33,5,5,226,288.6,3,0
CUST-000104,Male,0,No,No,20.0,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Electronic check,33.15,620.56,11,2,198,27.2,16,0
CUST-000105,Female,0,No,No,3.0,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,35.84,119.7,13,3,234,152.3,16,1
CUST-000106,Female,0,No,No,30.0,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,39.93,1177.32,11,2,339,218.6,0,1
CUST-000107,Female,0,No,No,72.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,70.53,5099.0,6,3,256,214.7,0,0
CUST-000108,Female,0,No,No,59.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,22.83,1345.85,10,3,160,18.0,24,0
CUST-000109,Male,0,Yes,No,17.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),73.95,1272.5,4,4,104,40.4,6,0
CUST-000110,Female,0,No,Yes,21.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,112.25,2365.56,13,1,83,191.3,21,0
CUST-000111,Male,0,No,No,16.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),114.11,1822.58,10,3,317,30.8,0,0
CUST-000112,Female,0,No,No,3.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),113.74,328.58,5,4,311,212.0,20,1
CUST-000113,Female,0,Yes,No,19.0,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,110.87,2091.05,1,6,123,50.8,0,0
CUST-000114,Male,1,No,No,60.0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),21.61,1319.16,9,3,158,61.6,12,0
CUST-000115,Female,0,Yes,No,18.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),70.12,1227.02,2,1,91,136.6,0,1
CUST-000116,Female,1,No,No,39.0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.6,854.35,4,4,100,75.1,0,0
CUST-000117,Male,0,No,No,29.0,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),70.75,2045.57,2,1,288,19.0,0,0
CUST-000118,Male,0,No,Yes,13.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,79.11,984.6,14,1,18,248.1,0,0
CUST-000119,Male,0,No,No,67.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.67,4995.25,6,6,232,66.3,0,0
CUST-000120,Male,0,Yes,Yes,61.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Electronic check,76.09,4641.28,9,5,37,252.6,9,0
CUST-000121,Male,0,Yes,No,66.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,111.31,7364.06,12,2,149,227.1,16,1
CUST-000122,Female,0,Yes,No,64.0,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),62.5,4027.94,12,3,100,200.6,8,0
CUST-000123,Female,0,No,No,66.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Mailed check,111.98,7358.8,6,6,216,296.8,15,0
CUST-000124,Male,0,No,No,35.0,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,96.66,3385.87,0,1,75,68.7,4,0
CUST-000125,Female,0,No,No,6.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Electronic check,89.31,553.51,2,5,255,168.4,18,1
CUST-000126,Female,0,No,No,62.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.88,1611.78,11,4,31,30.9,0,0
CUST-000127,Male,0,No,Yes,39.0,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),85.27,3335.7,10,1,67,17.3,0,0
CUST-000128,Female,0,Yes,No,28.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.39,561.58,10,4,334,268.6,11,0
CUST-000129,Female,1,No,Yes,34.0,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),38.23,1291.45,2,3,80,231.4,0,1
CUST-000130,Female,1,No,Yes,64.0,No,No phone service,DSL,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,50.68,3228.28,0,5,125,210.7,9,0
CUST-000131,Female,0,Yes,No,72.0,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),59.37,4282.82,9,5,336,109.2,10,0
CUST-000132,Female,0,No,No,23.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.33,584.34,8,6,42,106.8,0,0
CUST-000133,Male,0,No,No,35.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.62,766.99,2,4,103,277.9,0,0
CUST-000134,Female,0,No,Yes,69.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.83,1693.04,3,4,324,61.4,8,0
CUST-000135,Female,1,No,No,55.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),86.05,4714.23,13,6,355,87.0,0,1
CUST-000136,Male,0,No,Yes,54.0,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,57.21,3065.14,14,3,219,26.0,0,1
CUST-000137,Female,0,Yes,Yes,23.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),96.38,2193.11,2,2,185,11.9,4,0
CUST-000138,Male,0,Yes,Yes,57.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,100.93,5755.59,13,5,329,239.4,0,1
CUST-000139,Male,0,No,No,39.0,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,48.42,1865.28,1,3,238,244.9,0,1
CUST-000140,Male,1,Yes,No,70.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,94.97,6633.66,4,5,117,20.2,10,1
CUST-000141,Female,0,No,Yes,20.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.78,433.33,11,5,363,114.2,0,0
CUST-000142,Male,0,Yes,Yes,52.0,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,40.02,2073.53,5,6,218,52.8,4,0
CUST-000143,Male,0,No,No,36.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),83.24,2991.29,10,6,286,84.7,0,1
CUST-000144,Male,1,No,No,14.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),89.58,1251.63,3,5,20,46.6,12,0
CUST-000145,Female,0,No,Yes,71.0,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,74.23,5278.42,4,6,352,259.8,20,0
CUST-000146,Female,0,Yes,No,64.0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),41.19,2628.53,7,4,196,17.7,11,0
